0,1,2,3,4,5,6,7,8,9,10
ADCY4,1.0,FALSE,1,1.0,0.0,1.0,8.26e-06,0.17448682390973,0.0,Diverged_in_single-cell
ADCYAP1,1.0,FALSE,0,1.0,0.0,1.0,0.810575592645482,1.0,0.0,Diverged_in_single-cell
ADGRE1,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADGRG7,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADGRL4,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADIPOR1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADIRF,1.0,FALSE,1,1.0,0.0,1.0,1.67e-05,1.0,0.0,Diverged_in_single-cell
ADM,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADM5,1.0,FALSE,0,1.0,1.0,1.0,,,0.0,Diverged_in_single-cell
ADPRH,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADRA1D,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADRA2C,1.0,FALSE,0,0.0,1.0,1.0,0.888393818002233,1.0,0.0,Diverged_in_single-cell
ADRB2,1.0,FALSE,1,1.0,0.0,1.0,0.499977286134878,1.0,0.0,Diverged_in_single-cell
ADRM1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ADTRP,1.0,FALSE,0,0.0,1.0,1.0,0.784609554985984,1.0,0.0,Diverged_in_single-cell
AEBP1,1.0,FALSE,1,0.0,0.0,1.0,0.799430745564881,1.0,0.0,Diverged_in_single-cell
AEBP2,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AFF2,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AGER,1.0,FALSE,0,1.0,0.0,1.0,0.0017366468014912,1.0,0.0,Diverged_in_single-cell
AGK,1.0,FALSE,0,1.0,0.0,1.0,0.0722330771497585,1.0,0.0,Diverged_in_single-cell
AGPAT5,1.0,FALSE,0,0.0,1.0,1.0,1.79e-05,1.38e-05,1.0,Diverged_in_both
AGR3,1.0,FALSE,0,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AGT,1.0,FALSE,1,0.0,0.0,1.0,0.756039157496609,1.0,0.0,Diverged_in_single-cell
AGTRAP,1.0,FALSE,0,0.0,1.0,1.0,0.989498431182434,1.0,0.0,Diverged_in_single-cell
AHCY,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AHNAK2,1.0,FALSE,0,0.0,1.0,1.0,0.144352870060516,1.0,0.0,Diverged_in_single-cell
AIM2,1.0,FALSE,1,0.0,0.0,1.0,,,0.0,Diverged_in_single-cell
AIP,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AK6,1.0,FALSE,0,1.0,0.0,1.0,8.28e-06,3.69e-05,1.0,Diverged_in_both
AK9,1.0,FALSE,0,0.0,1.0,1.0,0.143392936850629,1.0,0.0,Diverged_in_single-cell
AKAP17A,1.0,FALSE,0,1.0,1.0,1.0,1.18e-05,0.001706929381068,1.0,Diverged_in_both
AKAP3,1.0,FALSE,1,0.0,0.0,1.0,,,0.0,Diverged_in_single-cell
AKR1C1,1.0,FALSE,0,0.0,1.0,1.0,0.006811944663774,1.0,0.0,Diverged_in_single-cell
AKR1D1,1.0,FALSE,0,0.0,1.0,1.0,0.0856103917409213,1.0,0.0,Diverged_in_single-cell
AKR7A2,1.0,FALSE,0,1.0,0.0,1.0,0.573346814997059,1.0,0.0,Diverged_in_single-cell
ALDH16A1,1.0,FALSE,0,1.0,0.0,1.0,0.542691724973343,1.0,0.0,Diverged_in_single-cell
ALDH1A1,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALDH1L1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALDH3B1,1.0,FALSE,1,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALG12,1.0,FALSE,0,0.0,1.0,1.0,0.0003449044031474,1.0,0.0,Diverged_in_single-cell
ALG14,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALG2,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALG5,1.0,FALSE,0,0.0,1.0,1.0,0.127826491038556,1.0,0.0,Diverged_in_single-cell
ALKBH1,1.0,FALSE,0,0.0,1.0,1.0,0.196618318767766,1.0,0.0,Diverged_in_single-cell
ALKBH2,1.0,FALSE,0,0.0,1.0,1.0,0.669455817085142,1.0,0.0,Diverged_in_single-cell
ALKBH3,1.0,FALSE,0,0.0,1.0,1.0,0.762989515430301,1.0,0.0,Diverged_in_single-cell
ALKBH4,1.0,FALSE,0,0.0,1.0,1.0,0.588945466840042,1.0,0.0,Diverged_in_single-cell
ALKBH7,1.0,FALSE,1,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALLC,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALOX5,1.0,FALSE,1,0.0,0.0,1.0,0.178002282244676,1.0,0.0,Diverged_in_single-cell
ALOX5AP,1.0,FALSE,1,1.0,0.0,1.0,0.318938686473212,1.0,0.0,Diverged_in_single-cell
ALOXE3,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALPL,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ALX4,1.0,FALSE,1,0.0,0.0,1.0,0.0323672264735364,0.250483832113362,0.0,Diverged_in_single-cell
AMACR,1.0,FALSE,1,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AMBRA1,1.0,FALSE,0,1.0,0.0,1.0,0.187585361435705,1.0,0.0,Diverged_in_single-cell
AMDHD1,1.0,FALSE,0,0.0,1.0,1.0,0.258334035019149,0.27159437834811,0.0,Diverged_in_single-cell
AMER1,1.0,FALSE,1,1.0,1.0,1.0,0.971318191021686,1.0,0.0,Diverged_in_single-cell
AMH,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AMIGO1,1.0,FALSE,0,0.0,1.0,1.0,0.441958097210261,1.0,0.0,Diverged_in_single-cell
AMTN,1.0,FALSE,1,1.0,0.0,1.0,,,0.0,Diverged_in_single-cell
ANAPC15,1.0,FALSE,1,0.0,0.0,1.0,0.884199354805957,1.0,0.0,Diverged_in_single-cell
ANAPC2,1.0,FALSE,1,0.0,0.0,1.0,0.762989515430301,1.0,0.0,Diverged_in_single-cell
ANAPC4,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANAPC7,1.0,FALSE,1,0.0,1.0,1.0,0.502229604579631,1.0,0.0,Diverged_in_single-cell
ANGPT4,1.0,FALSE,1,0.0,0.0,1.0,0.382801227525441,1.0,0.0,Diverged_in_single-cell
ANGPTL3,1.0,FALSE,0,1.0,0.0,1.0,3.81e-05,3.98e-06,1.0,Diverged_in_both
ANGPTL4,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANGPTL6,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANGPTL7,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKAR,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKLE1,1.0,FALSE,0,0.0,1.0,1.0,0.0397622747886885,1.0,0.0,Diverged_in_single-cell
ANKLE2,1.0,FALSE,1,0.0,0.0,1.0,0.463109201104726,1.0,0.0,Diverged_in_single-cell
ANKMY2,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKRA2,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKRD37,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKRD39,1.0,FALSE,0,1.0,0.0,1.0,0.0006770921899913,1.0,0.0,Diverged_in_single-cell
ANKRD49,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKRD55,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANKRD61,1.0,FALSE,0,1.0,1.0,1.0,,,0.0,Diverged_in_single-cell
ANO1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANPEP,1.0,FALSE,1,0.0,0.0,1.0,0.989498431182434,1.0,0.0,Diverged_in_single-cell
ANXA1,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANXA13,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
ANXA9,1.0,FALSE,1,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AOX1,1.0,FALSE,0,0.0,1.0,1.0,0.600311143195412,1.0,0.0,Diverged_in_single-cell
AP1M1,1.0,FALSE,0,0.0,1.0,1.0,0.530501113369397,1.0,0.0,Diverged_in_single-cell
AP1M2,1.0,FALSE,0,1.0,1.0,1.0,0.0028875082505151,1.0,0.0,Diverged_in_single-cell
AP1S3,1.0,FALSE,0,1.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AP2A2,1.0,FALSE,0,1.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AP2S1,1.0,FALSE,0,0.0,1.0,1.0,0.290126102417994,1.0,0.0,Diverged_in_single-cell
AP3M2,1.0,FALSE,0,0.0,1.0,1.0,0.789049291486693,1.0,0.0,Diverged_in_single-cell
AP3S2,1.0,FALSE,0,0.0,1.0,1.0,0.968844621819293,1.0,0.0,Diverged_in_single-cell
AP4S1,1.0,FALSE,0,0.0,1.0,1.0,0.669455817085142,1.0,0.0,Diverged_in_single-cell
APBA2,1.0,FALSE,0,0.0,1.0,1.0,0.0070144771047151,1.0,0.0,Diverged_in_single-cell
APEX1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
APH1A,1.0,FALSE,1,0.0,0.0,1.0,0.0011285298270545,1.0,0.0,Diverged_in_single-cell
API5,1.0,FALSE,0,0.0,1.0,1.0,0.159219960069847,1.0,0.0,Diverged_in_single-cell
APIP,1.0,FALSE,0,0.0,1.0,1.0,0.825706055124476,1.0,0.0,Diverged_in_single-cell
APLF,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
APMAP,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
APOA1,1.0,FALSE,0,0.0,1.0,1.0,0.0173981150421635,0.135322778717966,0.0,Diverged_in_single-cell
APOBEC3G,1.0,FALSE,1,1.0,0.0,1.0,,,0.0,Diverged_in_single-cell
APOC1,1.0,FALSE,1,0.0,0.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
APOM,1.0,FALSE,1,0.0,1.0,1.0,8.26e-06,0.0165352850888097,1.0,Diverged_in_both
APOO,1.0,FALSE,1,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
APOOL,1.0,FALSE,0,0.0,1.0,1.0,0.0003249589288396,1.0,0.0,Diverged_in_single-cell
APTX,1.0,FALSE,0,0.0,1.0,1.0,1.0,1.0,0.0,Diverged_in_single-cell
AQP1,1.0,FALSE,1,0.0,0.0,1.0,0.0894094565507605,1.0,0.0,Diverged_in_single-cell
AQP7,1.0,FALSE,0,0.0,1.0,1.0,0.558495726463131,1.0,0.0,Diverged_in_single-cell
